INSTNM,CITY,STATE,STABBR,ZIP,LATITUDE,LONGITUDE,INSTURL
Chisholm Trail Technology Center,Omega,Oklahoma ,OK,73764-6335,35.84221,-98.20184,www.cttc.edu/
Choffin Career  and Technical Center,Youngstown,Ohio ,OH,44503-1600,41.100847,-80.644393,www.choffinctc.com/adult-education/
Chowan University,Murfreesboro,North Carolina ,NC,27855,36.436258,-77.099141,https://www.chowan.edu/
Chris Beauty College,Gulfport,Mississippi ,MS,39501,30.382294,-89.077391,www.chrisbeautycollege.edu/
Christ Mission College,San Antonio,Texas ,TX,78254-1000,29.543412,-98.70699,cmctx.edu/
Christ the King Seminary,East Aurora,New York ,NY,14052-0607,42.77089,-78.660311,www.cks.edu/
Christian Brothers University,Memphis,Tennessee ,TN,38104,35.127437,-89.983241,https://www.cbu.edu/
Christian Culinary Academy,Cannon Beach,Oregon ,OR,97110-1484,45.89961,-123.959303,https://www.christianculinary.org/
Christian Theological Seminary,Indianapolis,Indiana ,IN,46208-3301,39.832673,-86.178551,www.cts.edu/
Christina and Company Education Center,Lafayette,Indiana ,IN,47905-4633,40.414052,-86.815349,www.ccedcenter.com/
Christine Valmy International School for Esthetics Skin Care & Makeup,New York,New York ,NY,10036,40.757105,-73.986466,https://www.christinevalmy.com/
Christine Valmy International School of Esthetics & Cosmetology,Pine Brook,New Jersey ,NJ,07058-9589,40.868977,-74.358331,https://www.christinevalmy.com/
Christopher Newport University,Newport News,Virginia ,VA,23606-3072,37.062495,-76.494364,cnu.edu/
Church Divinity School of the Pacific,Berkeley,California ,CA,94709-1211,37.876184,-122.261122,www.cdsp.edu/
Cincinnati College of Mortuary Science,Cincinnati,Ohio ,OH,45224-1462,39.206578,-84.505604,www.ccms.edu/
Cincinnati School of Barbering & Hair Design,Cincinnati,Ohio ,OH,45239,39.206754,-84.582563,cincinnatischoolofbarbering.com/
Cincinnati School of Medical Massage,Cincinnati,Ohio ,OH,45242,nan,nan,www.massageschools.com/
Cincinnati State Technical and Community College,Cincinnati,Ohio ,OH,45223-2690,39.149915,-84.536936,www.cincinnatistate.edu/
Cinta Aveda Institute,San Francisco,California ,CA,94108-3204,37.790935,-122.404307,www.cintaaveda.edu/
Cinta Aveda Institute - San Jose,San Jose,California ,CA,95113-0000,nan,nan,https://www.cintaaveda.com/
Circle in the Square Theatre School,New York,New York ,NY,10019-6795,40.762059,-73.984607,www.circlesquare.org/
Cisco College,Cisco,Texas ,TX,76437,32.401132,-98.985206,https://www.cisco.edu/
Citadel Military College of South Carolina,Charleston,South Carolina ,SC,29409,32.797183,-79.958775,www.citadel.edu/
Citizens School of Nursing,Tarentum,Pennsylvania ,PA,15084,40.573248,-79.798934,https://www.ahn.org/education/citizens-school-nursing
Citrus College,Glendora,California ,CA,91741-1899,34.13537,-117.886469,https://www.citruscollege.edu/
Citrus Heights Beauty College,Citrus Heights,California ,CA,95610-1410,38.712951,-121.289529,chbeautycollege.com/
City College Montana State University Billings,Billings,Montana ,MT,59102-9856,nan,nan,www.msubillings.edu/citycollege/
City College of San Francisco,San Francisco,California ,CA,94112-1898,37.725953,-122.451155,www.ccsf.edu/
City College-Altamonte Springs,Altamonte Springs,Florida ,FL,32714,28.663604,-81.402219,https://www.citycollege.edu/
City College-Fort Lauderdale,Fort Lauderdale,Florida ,FL,33309,26.187467,-80.1705,https://www.citycollege.edu/
City College-Gainesville,Gainesville,Florida ,FL,32607,29.654852,-82.417302,https://www.citycollege.edu/
City College-Hollywood,Hollywood,Florida ,FL,33024-4045,26.025173,-80.22004,https://www.citycollege.edu/
City College-Miami,Miami,Florida ,FL,33156,25.683673,-80.316377,https://www.citycollege.edu/
City Colleges of Chicago-Harold Washington College,Chicago,Illinois ,IL,60601-2449,41.886067,-87.626596,www.ccc.edu/colleges/washington/Pages/default.aspx
City Colleges of Chicago-Harry S Truman College,Chicago,Illinois ,IL,60640-6063,41.964502,-87.659107,ccc.edu/colleges/truman/pages/default.aspx
City Colleges of Chicago-Kennedy-King College,Chicago,Illinois ,IL,60621-2709,41.780253,-87.643425,www.ccc.edu/colleges/kennedy/pages/default.aspx
City Colleges of Chicago-Malcolm X College,Chicago,Illinois ,IL,60612-3197,41.878092,-87.675321,www.ccc.edu/colleges/malcolm-x/pages/default.aspx
City Colleges of Chicago-Olive-Harvey College,Chicago,Illinois ,IL,60628-1696,41.709997,-87.589249,ccc.edu/colleges/olive-harvey/pages/default.aspx
City Colleges of Chicago-Richard J Daley College,Chicago,Illinois ,IL,60652-1299,41.755955,-87.723981,ccc.edu/colleges/daley/pages/default.aspx
City Colleges of Chicago-Wilbur Wright College,Chicago,Illinois ,IL,60634-1500,41.958774,-87.787868,ccc.edu/colleges/wright/pages/default.aspx
City Pointe Beauty Academy,Webb City,Missouri ,MO,64870-2502,37.140007,-94.473433,www.citypointebeauty.com/
City University of Seattle,Seattle,Washington ,WA,98121,47.617381,-122.344594,www.cityu.edu/
City Vision University,Kansas City,Missouri ,MO,64106-3028,39.101164,-94.569475,https://www.cityvision.edu/
Clackamas Community College,Oregon City,Oregon ,OR,97045-8980,45.323185,-122.574272,www.clackamas.edu/
Claflin University,Orangeburg,South Carolina ,SC,29115-4498,33.498444,-80.854319,www.claflin.edu/
Claremont Graduate University,Claremont,California ,CA,91711-6160,34.103585,-117.713703,www.cgu.edu/
Claremont Lincoln University,Claremont,California ,CA,91711-4744,34.094273,-117.716117,https://claremontlincoln.edu/
Claremont McKenna College,Claremont,California ,CA,91711-6400,34.102154,-117.711188,www.cmc.edu/
Claremont School of Theology,Claremont,California ,CA,91711-3199,34.107602,-117.715256,www.cst.edu/
Clarendon College,Clarendon,Texas ,TX,79226,34.944558,-100.902421,www.clarendoncollege.edu/
Clarion University of Pennsylvania,Clarion,Pennsylvania ,PA,16214,41.207805,-79.377501,https://www.clarion.edu/
Clark Atlanta University,Atlanta,Georgia ,GA,30314-4391,33.747628,-84.412584,www.cau.edu/
Clark College,Vancouver,Washington ,WA,98663-3598,45.636133,-122.651257,www.clark.edu/
Clark State College,Springfield,Ohio ,OH,45501-0570,39.896411,-83.799788,https://www.clarkstate.edu/
Clark University,Worcester,Massachusetts ,MA,01610-1477,42.249987,-71.823356,www.clarku.edu/
Clarke University,Dubuque,Iowa ,IA,52001-3198,42.509475,-90.690487,www.clarke.edu/
Clarks Summit University,Clarks Summit,Pennsylvania ,PA,18411-1250,41.495062,-75.685472,https://www.clarkssummitu.edu/
Clarksburg Beauty Academy and School of Massage Therapy,Clarksburg,West Virginia ,WV,26301,39.279875,-80.339054,clarksburgbeautyacademywv.com/
Clarkson College,Omaha,Nebraska ,NE,68131-2739,41.259165,-95.974847,www.clarksoncollege.edu/
Clarkson University,Potsdam,New York ,NY,13699,44.662716,-74.999359,https://www.clarkson.edu/
Clary Sage College,Tulsa,Oklahoma ,OK,74145,36.117058,-95.903835,www.clarysagecollege.com/
Clatsop Community College,Astoria,Oregon ,OR,97103,46.183107,-123.823339,www.clatsopcc.edu/
Clayton  State University,Morrow,Georgia ,GA,30260-0285,33.594079,-84.328174,www.clayton.edu/
Clear Creek Baptist Bible College,Pineville,Kentucky ,KY,40977-9752,36.725236,-83.727702,https://ccbbc.edu/
Clearfield County Career and Technology Center,Clearfield,Pennsylvania ,PA,16830,41.030572,-78.418679,www.ccctc.edu/
Cleary University,Howell,Michigan ,MI,48843,42.586638,-83.879987,www.cleary.edu/
Clemson University,Clemson,South Carolina ,SC,29634,34.679381,-82.835114,www.clemson.edu/
Cleveland Clinic Health System-School of Diagnostic Imaging,Euclid,Ohio ,OH,44119,41.598918,-81.548554,www.clevelandclinic.org/sodi
Cleveland Community College,Shelby,North Carolina ,NC,28152-6224,35.279833,-81.492856,www.clevelandcc.edu/
Cleveland Institute of Art,Cleveland,Ohio ,OH,44106-1710,41.510435,-81.602416,www.cia.edu/
Cleveland Institute of Medical Massage,Middleburg Heights,Ohio ,OH,44130,nan,nan,www.massageschools.com/
Cleveland Institute of Music,Cleveland,Ohio ,OH,44106-1776,41.512444,-81.608878,www.cim.edu/
Cleveland State Community College,Cleveland,Tennessee ,TN,37312,35.200103,-84.879284,www.clevelandstatecc.edu/
Cleveland State University,Cleveland,Ohio ,OH,44115-2214,41.502281,-81.674355,www.csuohio.edu/
Cleveland University-Kansas City,Overland Park,Kansas ,KS,66210,38.932019,-94.679076,www.cleveland.edu/
Clinton College,Rock Hill,South Carolina ,SC,29730,34.913721,-81.043469,www.clintoncollege.edu/
Clinton Community College,Plattsburgh,New York ,NY,12901,44.64841,-73.439739,https://www.clinton.edu/
Clinton Essex Warren Washington BOCES,Plattsburgh,New York ,NY,12901-0455,44.693228,-73.517906,www.cves.org/
Clinton Technical School,Clinton,Missouri ,MO,64735,38.363669,-93.768459,clintoncardinals.org/
Cloud County Community College,Concordia,Kansas ,KS,66901-1002,39.554199,-97.664147,https://www.cloud.edu/
Clover Park Technical College,Lakewood,Washington ,WA,98499-4004,47.176084,-122.497873,www.cptc.edu/
Clovis Adult Education,Clovis,California ,CA,93611,36.834459,-119.690369,clovisadult.cusd.com/
Clovis Community College,Fresno,California ,CA,93730,36.88686,-119.731261,www.cloviscollege.edu/
Clovis Community College,Clovis,New Mexico ,NM,88101-8381,34.402483,-103.165886,www.clovis.edu/
Cloyd's Barber School 2 Inc,Monroe,Louisiana ,LA,71201,32.485377,-92.090159,cloydsbarberschool.com/
Cloyd's Beauty School 1 Inc,West Monroe,Louisiana ,LA,71291-0603,32.499976,-92.126506,cloydsbeautyschool.com/
Cloyd's Beauty School 3 Inc,Monroe,Louisiana ,LA,71201,32.533231,-92.080603,cloydsbeautyschool.com/
Coachella Valley Beauty College,La Quinta,California ,CA,92253,33.708193,-116.278254,www.cvbeautycollege.com/
Coachella Valley Beauty College-Hemet,Hemet,California ,CA,92545,33.745675,-117.010783,cvbeautycollege.com/
Coahoma Community College,Clarksdale,Mississippi ,MS,38614,34.254417,-90.568469,www.coahomacc.edu/
Coastal Alabama Community College,Bay Minette,Alabama ,AL,36507-2698,30.851343,-87.778193,www.coastalalabama.edu/
Coastal Bend College,Beeville,Texas ,TX,78102,28.435194,-97.755896,www.coastalbend.edu/
Coastal Carolina Community College,Jacksonville,North Carolina ,NC,28546-6816,34.771687,-77.384785,www.coastalcarolina.edu/
Coastal Carolina University,Conway,South Carolina ,SC,29526,33.794995,-79.011767,www.coastal.edu/
Coastal Pines Technical College,Waycross,Georgia ,GA,31503,31.212781,-82.3821,www.coastalpines.edu/
Coastline Beauty College,Fountain Valley,California ,CA,92708,33.728821,-117.921471,www.coastlinebeauty.edu/
Coastline Beauty College - Hemet,Hemet,California ,CA,92545-3661,nan,nan,www.coastlinebeauty.edu/
Coastline Community College,Fountain Valley,California ,CA,92708-2597,33.715634,-117.929143,www.coastline.edu/
Coba Academy,Anaheim,California ,CA,92801,33.841141,-117.943108,www.coba.edu/
Cochise County Community College District,Sierra Vista,Arizona ,AZ,85635-2317,31.564597,-110.246946,https://www.cochise.edu/
Cochran School of Nursing,Yonkers,New York ,NY,10701,40.969116,-73.885705,www.cochranschoolofnursing.us/
Coconino Community College,Flagstaff,Arizona ,AZ,86005-2701,35.171328,-111.645631,www.coconino.edu/
Coe College,Cedar Rapids,Iowa ,IA,52402-5092,41.988263,-91.658192,www.coe.edu/
Coffeyville Community College,Coffeyville,Kansas ,KS,67337-5064,37.033814,-95.621374,www.coffeyville.edu/
Coffeyville Technical Campus,Coffeyville,Kansas ,KS,67337-7501,nan,nan,www.coffeyville.edu/
Coker University,Hartsville,South Carolina ,SC,29550,34.37696,-80.070416,https://coker.edu/
Colby College,Waterville,Maine ,ME,04901-8840,44.564211,-69.66337,www.colby.edu/
Colby Community College,Colby,Kansas ,KS,67701,39.377601,-101.052744,www.colbycc.edu/
Colby-Sawyer College,New London,New Hampshire ,NH,03257-7835,43.411663,-71.975805,www.colby-sawyer.edu/
Colegio Educativo Tecnologico Industrial Inc,Arecibo,Puerto Rico ,PR,00612-0000,18.471007,-66.714906,www.ceticollege.com/
Colegio Mayor de Tecnologia Inc,Arroyo,Puerto Rico ,PR,00714-0270,17.970907,-66.060473,www.cmtarroyo.com/
Colegio Tecnico de Electricidad Galloza,Aguada,Puerto Rico ,PR,00602,18.354438,-67.176343,www.ctegpr.com/CTEG_Web/
Colegio Universitario de San Juan,San Juan,Puerto Rico ,PR,00918,18.428528,-66.066529,www.cunisanjuan.edu/
Colegio de Cinematografia Artes y Television,Bayamon,Puerto Rico ,PR,00961,18.399507,-66.155509,https://www.ccatpuertorico.com/
Colgate Rochester Crozer Divinity School,Rochester,New York ,NY,14607,43.159775,-77.584292,https://www.crcds.edu/
Colgate University,Hamilton,New York ,NY,13346-1398,42.819475,-75.536346,https://www.colgate.edu/
Collectiv Academy,Sandy,Utah ,UT,84094,40.56441,-111.851661,www.collectivacademy.com/
College Unbound,Providence,Rhode Island ,RI,02905-2340,41.80644,-71.412848,collegeunbound.edu/
College for Creative Studies,Detroit,Michigan ,MI,48202,42.361839,-83.062352,https://www.collegeforcreativestudies.edu/
College of Alameda,Alameda,California ,CA,94501,37.781017,-122.279303,https://alameda.peralta.edu/
College of Biblical Studies-Houston,Houston,Texas ,TX,77036-3211,29.716676,-95.506559,www.cbshouston.edu/
College of Central Florida,Ocala,Florida ,FL,34474,29.166079,-82.175692,www.cf.edu/
College of Charleston,Charleston,South Carolina ,SC,29424-0001,32.784225,-79.939794,www.cofc.edu/
College of Coastal Georgia,Brunswick,Georgia ,GA,31520-3644,31.182745,-81.485973,https://www.ccga.edu/
College of Cosmetology,Klamath Falls,Oregon ,OR,97601-3233,42.224857,-121.765377,collegeofcos.com/
College of Court Reporting Inc,Valparaiso,Indiana ,IN,46385,41.467574,-87.066331,www.ccr.edu/
College of DuPage,Glen Ellyn,Illinois ,IL,60137-6599,41.841577,-88.071635,www.cod.edu/
College of Eastern Idaho,Idaho Falls,Idaho ,ID,83404-5788,43.486041,-111.985519,www.cei.edu/
College of Hair Design Careers,Salem,Oregon ,OR,97301-1952,44.949897,-122.981554,www.collegeofhairdesigncareers.com/
College of Hair Design-Downtown,Lincoln,Nebraska ,NE,68508-2199,40.811084,-96.705169,collegeofhairdesign.com/
College of Hair Design-East Campus,Lincoln,Nebraska ,NE,68526,40.732974,-96.596462,collegeofhairdesign.com/
College of Health Care Professions,Houston,Texas ,TX,77054,29.678462,-95.420012,www.chcp.edu/
College of Lake County,Grayslake,Illinois ,IL,60030-1198,42.354164,-88.012291,www.clcillinois.edu/
College of Marin,Kentfield,California ,CA,94904-2590,37.954897,-122.549149,www.marin.edu/
College of Massage Therapy,Blackfoot,Idaho ,ID,83221,43.193422,-112.346975,www.collegemassagetherapy.com/
College of Menominee Nation,Keshena,Wisconsin ,WI,54135-1179,44.859044,-88.625628,www.menominee.edu/
College of Mount Saint Vincent,Bronx,New York ,NY,10471-1093,40.913657,-73.908887,www.mountsaintvincent.edu/
College of Our Lady of the Elms,Chicopee,Massachusetts ,MA,01013,42.141781,-72.60154,https://www.elms.edu/
College of Saint Benedict,Saint Joseph,Minnesota ,MN,56374,45.561792,-94.319888,https://csbsju.edu/
College of Saint Mary,Omaha,Nebraska ,NE,68106,41.240028,-96.021425,www.csm.edu/
College of San Mateo,San Mateo,California ,CA,94402-3784,37.535698,-122.334801,www.collegeofsanmateo.edu/
College of Southern Idaho,Twin Falls,Idaho ,ID,83301,42.579837,-114.473901,www.csi.edu/
College of Southern Maryland,La Plata,Maryland ,MD,20646-0910,38.55895,-77.009245,www.csmd.edu/
College of Southern Nevada,Las Vegas,Nevada ,NV,89146-1164,36.158114,-115.233099,www.csn.edu/
College of Staten Island CUNY,Staten Island,New York ,NY,10314,40.601831,-74.14849,www.csi.cuny.edu/
College of Western Idaho,Nampa,Idaho ,ID,83687,43.614106,-116.507314,https://cwi.edu/
College of Wilmington,Wilmington,North Carolina ,NC,28403,34.21396,-77.906111,www.collegeofwilmington.edu/
College of the Albemarle,Elizabeth City,North Carolina ,NC,27906-2327,36.324885,-76.219765,www.albemarle.edu/
College of the Atlantic,Bar Harbor,Maine ,ME,04609,44.395258,-68.221517,www.coa.edu/
College of the Canyons,Santa Clarita,California ,CA,91355-1899,34.403993,-118.568698,www.canyons.edu/
College of the Desert,Palm Desert,California ,CA,92260,33.732108,-116.388271,www.collegeofthedesert.edu/
College of the Holy Cross,Worcester,Massachusetts ,MA,01610-2395,42.23752,-71.808214,www.holycross.edu/
College of the Mainland,Texas City,Texas ,TX,77591-2499,29.39581,-94.999602,www.com.edu/
College of the Muscogee Nation,Okmulgee,Oklahoma ,OK,74447-0917,35.635288,-95.936439,https://cmn.edu/
College of the Ozarks,Point Lookout,Missouri ,MO,65726-0017,36.616019,-93.238174,www.cofo.edu/
College of the Redwoods,Eureka,California ,CA,95501-9300,40.698427,-124.195293,www.redwoods.edu/
College of the Sequoias,Visalia,California ,CA,93277-2214,36.323877,-119.315182,www.cos.edu/
College of the Siskiyous,Weed,California ,CA,96094-2899,41.413005,-122.38909,www.siskiyous.edu/
Collin County Community College District,McKinney,Texas ,TX,75069,33.16241,-96.63894,www.collin.edu/
Colorado Academy of Veterinary Technology,Colorado Springs,Colorado ,CO,80906-4944,38.794277,-104.790429,www.cavt.edu/
Colorado Christian University,Lakewood,Colorado ,CO,80226,39.71388,-105.09456,https://www.ccu.edu/
Colorado College,Colorado Springs,Colorado ,CO,80903,38.84886,-104.822697,www.coloradocollege.edu/
Colorado Media School,Lakewood,Colorado ,CO,80226,39.708979,-105.077863,beonair.com/
Colorado Mesa University,Grand Junction,Colorado ,CO,81501-3122,39.080643,-108.553275,www.coloradomesa.edu/
Colorado Mountain College,Glenwood Springs,Colorado ,CO,81601-0233,39.54636,-107.324441,coloradomtn.edu/
Colorado Northwestern Community College,Rangely,Colorado ,CO,81648-3598,40.081112,-108.790048,www.cncc.edu/
Colorado School of Healing Arts,Lakewood,Colorado ,CO,80226,39.697033,-105.082406,www.csha.net/
Colorado School of Mines,Golden,Colorado ,CO,80401,39.751443,-105.223364,www.mines.edu/
Colorado School of Trades,Lakewood,Colorado ,CO,80215-2996,39.74181,-105.104174,https://schooloftrades.edu/about
Colorado School of Traditional Chinese Medicine,Denver,Colorado ,CO,80206,39.739437,-104.960118,www.cstcm.edu/
Colorado State University Pueblo,Pueblo,Colorado ,CO,81001-4901,38.30859,-104.579033,https://www.csupueblo.edu/
Colorado State University-Fort Collins,Fort Collins,Colorado ,CO,80523-0100,40.574805,-105.080732,colostate.edu/
Colorado State University-Global Campus,Aurora,Colorado ,CO,80011-0000,39.724786,-104.786666,https://csuglobal.edu/
Colorado Technical University-Colorado Springs,Colorado Springs,Colorado ,CO,80907-3812,38.894265,-104.833928,www.coloradotech.edu/Colorado-Springs
Colorado Technical University-Denver South,Aurora,Colorado ,CO,80014,nan,nan,www.coloradotech.edu/Denver
Columbia Basin College,Pasco,Washington ,WA,99301,46.25216,-119.12103,www.columbiabasin.edu/
Columbia Central University-Caguas,Caguas,Puerto Rico ,PR,00726,18.22329,-66.022543,www.columbiacentral.edu/
Columbia Central University-Yauco,Yauco,Puerto Rico ,PR,00698,18.037737,-66.849127,www.columbiacentral.edu/
Columbia College,Centreville,Virginia ,VA,20121,38.838042,-77.434496,www.ccdc.edu/
Columbia College,Columbia,South Carolina ,SC,29203,34.045581,-81.029967,www.columbiasc.edu/
Columbia College,Vienna,Virginia ,VA,22182,38.928425,-77.249152,www.ccdc.edu/
Columbia College,Columbia,Missouri ,MO,65216,38.957388,-92.326354,www.ccis.edu/
Columbia College,Sonora,California ,CA,95370,38.030367,-120.388385,https://www.gocolumbia.edu/
Columbia College -  Jacksonville,Jacksonville,Florida ,FL,32216-6010,nan,nan,www.ccis.edu/locations/jacksonville.aspx
Columbia College - Crystal Lake Campus,Crystal Lake,Illinois ,IL,60012-3709,nan,nan,www.ccis.edu/locations/crystal-lake.aspx
Columbia College - Denver,Centennial,Colorado ,CO,80112-1464,nan,nan,www.ccis.edu/locations/denver.aspx
Columbia College - Eastfield Pleasant Grove,Dallas,Texas ,TX,75217,nan,nan,https://www.ccis.edu/locations/mesquite.aspx
Columbia College - Elgin,Elgin,Illinois ,IL,60123-7193,nan,nan,www.ccis.edu/locations/elgin.aspx
Columbia College - Fort Drum,Ft. Drum,New York ,NY,13602-5203,nan,nan,www.ccis.edu/
Columbia College - Fort Leonard Wood,Fort Leonard Wood,Missouri ,MO,65473-1707,nan,nan,www.ccis.edu/locations/fort-leonard-wood.aspx
Columbia College - Fort Leonard Wood 58th Trans BN,Fort Leonard Wood,Missouri ,MO,65473,nan,nan,https://www.ccis.edu/locations/fort-leonard-wood.aspx
Columbia College - Fort Sill,Fort Sill,Oklahoma ,OK,73503-9009,nan,nan,www.ccis.edu/locations/fort-sill.aspx
Columbia College - Fort Stewart,Ft. Stewart,Georgia ,GA,31314-5056,nan,nan,www.ccis.edu/locations/fort-stewart.aspx
Columbia College - Fort Worth,Fort Worth,Texas ,TX,76127-1188,nan,nan,www.ccis.edu/locations/fort-worth.aspx
Columbia College - Freeport,Freeport,Illinois ,IL,61032-9341,nan,nan,www.ccis.edu/locations/freeport.aspx
Columbia College - Hancock Field,Syracuse,New York ,NY,13211-2100,nan,nan,www.ccis.edu/
Columbia College - Hunter Army Airfield,Hunter Army Airfield,Georgia ,GA,31409-0029,nan,nan,www.ccis.edu/locations/hunter-army-airfield.aspx
Columbia College - Imperial,Imperial,California ,CA,92251-0158,nan,nan,www.ccis.edu/locations/imperial.aspx
Columbia College - Jefferson City,Jefferson City,Missouri ,MO,65109-6877,nan,nan,www.ccis.edu/locations/jefferson-city.aspx
Columbia College - Kansas City,Kansas City,Missouri ,MO,64133-1707,nan,nan,www.ccis.edu/locations/kansas-city.aspx
Columbia College - Lake County,Gurnee,Illinois ,IL,60031-9184,nan,nan,www.ccis.edu/locations/lake-county.aspx
Columbia College - Lake Ozark,Osage Beach,Missouri ,MO,65065-9677,nan,nan,www.ccis.edu/locations/lake-ozark.aspx
Columbia College - Lemoore,NAS Lemoore,California ,CA,93246-0001,nan,nan,www.ccis.edu/locations/lemoore.aspx
Columbia College - Los Alamitos,Los Alamitos,California ,CA,90720-5177,nan,nan,www.ccis.edu/locations/los-alamitos.aspx
Columbia College - Mesquite,Dallas,Texas ,TX,75217,nan,nan,www.ccis.edu/locations/mesquite.aspx
Columbia College - Minot AFB,Minot AFB,North Dakota ,ND,78705,nan,nan,www.ccis.edu/locations/minot.aspx
Columbia College - NAS Jacksonville,Jacksonville,Florida ,FL,32212-0137,nan,nan,www.ccis.edu/locations/nas-jacksonville.aspx
Columbia College - NSB Kings Bay,Kings Bay,Georgia ,GA,31547-2532,nan,nan,www.ccis.edu/locations/kings-bay.aspx
Columbia College - Naval Base San Diego,San Diego,California ,CA,92136-5588,nan,nan,www.ccis.edu/
Columbia College - Naval Station Everett/Marysville,Marysville,Washington ,WA,98271-7854,nan,nan,www.ccis.edu/locations/marysville.aspx
Columbia College - Orlando,Orlando,Florida ,FL,32804-2606,nan,nan,www.ccis.edu/locations/orlando.aspx
Columbia College - Redstone Arsenal,Redstone Arsenal,Alabama ,AL,35898-5192,nan,nan,www.ccis.edu/locations/redstone-arsenal.aspx
Columbia College - Rolla,Rolla,Missouri ,MO,65401-1701,nan,nan,www.ccis.edu/locations/rolla.aspx
Columbia College - Saint Louis,Saint Louis,Missouri ,MO,63134-3701,nan,nan,www.ccis.edu/locations/st-louis.aspx
Columbia College - Salt Lake,Murray,Utah ,UT,84107-5322,nan,nan,www.ccis.edu/locations/salt-lake.aspx
Columbia College - San Diego,San Diego,California ,CA,92140-5290,nan,nan,www.ccis.edu/locations/san-diego.aspx
Columbia College - San Luis Obispo,San Luis Obispo,California ,CA,93403-8106,nan,nan,www.ccis.edu/locations/san-luis-obispo.aspx
Columbia College - Springfield,Springfield,Missouri ,MO,65804-4378,nan,nan,www.ccis.edu/locations/springfield.aspx
Columbia College - Springfield TMobile,Springfield,Missouri ,MO,65803,nan,nan,https://www.ccis.edu/
Columbia College - Tavares PD,Tavares,Florida ,FL,32778-6100,nan,nan,https://www.ccis.edu/locations/tavares.aspx
Columbia College - USCG Base Honolulu,Honolulu,Hawaii ,HI,96819-4398,nan,nan,https://www.ccis.edu/locations/honolulu.aspx
Columbia College - Waynesville,Waynesville,Missouri ,MO,65583-3449,nan,nan,www.ccis.edu/locations/waynesville.aspx
Columbia College - Waynesville,Waynesville,Missouri ,MO,65583-3449,nan,nan,www.ccis.edu/locations/waynesville.aspx
Columbia College - Whidbey Island,Oak Harbor,Washington ,WA,98278-1000,nan,nan,www.ccis.edu/locations/whidbey-island.aspx
Columbia College Chicago,Chicago,Illinois ,IL,60605-1996,41.874261,-87.624667,www.colum.edu/
Columbia College Hollywood,Tarzana,California ,CA,91356-1411,34.17972,-118.538793,https://www.columbiacollege.edu/
Columbia College of Nursing,Glendale,Wisconsin ,WI,53212,43.097318,-87.918283,www.ccon.edu/
Columbia Gorge Community College,The Dalles,Oregon ,OR,97058,45.590724,-121.190197,www.cgcc.edu/
Columbia Institute,Silver Spring,Maryland ,MD,20906-4503,39.056035,-77.08083,www.ccdc.edu/
Columbia International University,Columbia,South Carolina ,SC,29203-1513,34.07551,-81.07443,www.ciu.edu/
Columbia Southern University,Orange Beach,Alabama ,AL,36561-9000,30.329288,-87.653162,www.columbiasouthern.edu/
Columbia State Community College,Columbia,Tennessee ,TN,38401,35.616757,-87.101917,https://www.columbiastate.edu/
Columbia Theological Seminary,Decatur,Georgia ,GA,30030-4118,33.764292,-84.281695,www.ctsnet.edu/
Columbia University,New York,New York ,NY,10027,40.808286,-73.961885,www.columbia.edu/
Columbia-Greene Community College,Hudson,New York ,NY,12534,42.217613,-73.818113,https://www.sunycgcc.edu/
Columbiana County Career and Technical Center,Lisbon,Ohio ,OH,44432,40.768063,-80.747828,www.ccctc.k12.oh.us/
Columbus College of Art and Design,Columbus,Ohio ,OH,43215,39.966074,-82.989479,www.ccad.edu/
Columbus School of Medical Massage,Dublin,Ohio ,OH,43017-3305,nan,nan,https://www.massageschools.com/
Columbus State Community College,Columbus,Ohio ,OH,43215,39.96887,-82.98766,www.cscc.edu/
Columbus State University,Columbus,Georgia ,GA,31907-5645,32.50096,-84.94106,www.columbusstate.edu/
Columbus Technical Campus,Columbus,Kansas ,KS,66725-5064,nan,nan,www.coffeyville.edu/
Columbus Technical College,Columbus,Georgia ,GA,31904-6572,32.508076,-84.978551,www.columbustech.edu/
Commercial Divers International,Goodyear,Arizona ,AZ,85338-3693,33.409576,-112.408598,commercialdiversinternational.edu/
Commonwealth Institute of Funeral Service,Houston,Texas ,TX,77090-5918,29.989545,-95.430153,www.commonwealth.edu/
Commonwealth Technical Institute,Johnstown,Pennsylvania ,PA,15905,40.301691,-78.947004,www.dli.pa.gov/
Community Care College,Tulsa,Oklahoma ,OK,74145,36.101615,-95.905178,www.communitycarecollege.edu/
Community Christian College,Redlands,California ,CA,92374-2893,34.068664,-117.217101,https://www.cccollege.edu/
Community College of Allegheny County,Pittsburgh,Pennsylvania ,PA,15233-1895,40.450908,-80.018453,https://www.ccac.edu/
Community College of Aurora,Aurora,Colorado ,CO,80011-9036,39.71788,-104.802673,https://www.ccaurora.edu/
Community College of Baltimore County,Baltimore,Maryland ,MD,21237,39.352647,-76.48211,www.ccbcmd.edu/
Community College of Beaver County,Monaca,Pennsylvania ,PA,15061-2588,40.655601,-80.305876,https://www.ccbc.edu/
Community College of Denver,Denver,Colorado ,CO,80204-2026,39.741413,-105.001044,www.ccd.edu/
Community College of Philadelphia,Philadelphia,Pennsylvania ,PA,19130-3991,39.962458,-75.165604,www.ccp.edu/
Community College of Rhode Island,Warwick,Rhode Island ,RI,02886-1807,41.712817,-71.481509,www.ccri.edu/
